Row Labels,Sum of Spending Score (1-100),,,,,,,,,,,,,,,,,,
Female,5771,,,,,,,,,,,,,,,,,,
Male,4269,,,,,,,,,,,,,,,,,,
Grand Total,10040,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sum of Age,Sum of CustomerID,,,,,,,,,,,,,,,,,,
7770,20100,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sum of Annual Income (k$),Sum of Spending Score (1-100),,,,,,,,,,,,,,,,,,
12112,10040,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
CustomerID  Gender  ...  Spending Score (1-100)  Cluster,,Spending Score(1-100),Cluster,,,,,,,,,,,,,,,,
1,Male,39,4,,,,,SPENDING SCORE BY GENDER,,,,,,,AGE BY CUSTOMER ID,,,,
2,Male,81,2,,,,,,,,,,,,,,,,
3,Female,6,4,,,,,,,,,,,,,,,,
4,Female,77,2,,,,,,,,,,,,,,,,
5,Female,40,4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,CUSTOMER CLUSTER DISTRIBUTION,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,ANNUAL INCOME BY SPENDING SCORE,,,,
